url	state0	state1	state2	state3	state4	state5	stock	lastChecked
https://www.popmart.com/us/pop-now/set/40-10006967500280	1	1	1	1	1	1	true	2025-06-07T01:13:29.224Z
https://www.popmart.com/us/pop-now/set/40-10006967600280	1	1	2	1	1	1	true	2025-06-07T01:13:29.325Z
https://www.popmart.com/us/pop-now/set/40-10006968500280	1	1	1	1	1	1	true	2025-06-07T01:13:29.356Z
https://www.popmart.com/us/pop-now/set/40-10006968100280	1	1	1	1	1	1	true	2025-06-07T01:13:29.547Z
https://www.popmart.com/us/pop-now/set/40-10006968600280	2	2	2	1	2	2	true	2025-06-07T01:13:29.561Z
https://www.popmart.com/us/pop-now/set/40-10006968700280	1	1	1	1	1	1	true	2025-06-07T01:13:29.903Z
https://www.popmart.com/us/pop-now/set/40-10006968800280	1	1	1	1	1	1	true	2025-06-07T01:13:29.907Z
https://www.popmart.com/us/pop-now/set/40-10006969400280	2	1	1	1	1	1	true	2025-06-07T01:13:29.916Z
https://www.popmart.com/us/pop-now/set/40-10006969300280	2	2	2	2	2	2	true	2025-06-07T01:13:29.917Z
https://www.popmart.com/us/pop-now/set/40-10006969000280	1	1	1	1	1	1	true	2025-06-07T01:13:29.943Z
https://www.popmart.com/us/pop-now/set/40-10006967800280	1	1	1	1	1	1	true	2025-06-07T01:13:29.963Z
https://www.popmart.com/us/pop-now/set/40-10006969200280	1	1	2	1	1	1	true	2025-06-07T01:13:30.041Z
https://www.popmart.com/us/pop-now/set/40-10006969100280	1	1	1	1	1	1	true	2025-06-07T01:13:30.054Z
https://www.popmart.com/us/pop-now/set/40-10006968900280	2	2	2	2	1	2	true	2025-06-07T01:13:30.109Z
https://www.popmart.com/us/pop-now/set/40-10006969600280	1	1	1	1	1	1	true	2025-06-07T01:13:32.186Z
https://www.popmart.com/us/pop-now/set/40-10006969700280	1	1	1	1	1	1	true	2025-06-07T01:13:38.725Z
https://www.popmart.com/us/pop-now/set/40-10006969800280	1	1	1	1	1	1	true	2025-06-07T01:13:40.795Z
https://www.popmart.com/us/pop-now/set/40-10006970000280	1	1	2	1	2	2	true	2025-06-07T01:13:41.944Z
https://www.popmart.com/us/pop-now/set/40-10006969900280	2	2	1	2	2	1	true	2025-06-07T01:13:41.983Z
https://www.popmart.com/us/pop-now/set/40-10006970100280	1	1	1	1	2	1	true	2025-06-07T01:13:42.938Z
https://www.popmart.com/us/pop-now/set/40-10006970200280	2	1	1	2	1	1	true	2025-06-07T01:13:43.076Z
https://www.popmart.com/us/pop-now/set/40-10006970300280	2	1	1	1	1	1	true	2025-06-07T01:13:44.429Z
https://www.popmart.com/us/pop-now/set/40-10006970400280	2	1	1	1	1	1	true	2025-06-07T01:13:45.068Z
https://www.popmart.com/us/pop-now/set/40-10006970600280	1	1	1	1	1	1	true	2025-06-07T01:13:45.525Z
https://www.popmart.com/us/pop-now/set/40-10006970500280	1	1	1	1	1	2	true	2025-06-07T01:13:46.021Z
https://www.popmart.com/us/pop-now/set/40-10006970800280	1	2	1	0	1	1	true	2025-06-07T01:14:00.905Z
https://www.popmart.com/us/pop-now/set/40-10006971400280	1	1	1	1	1	1	true	2025-06-07T01:14:00.917Z
https://www.popmart.com/us/pop-now/set/40-10006971000280	1	1	1	1	1	1	true	2025-06-07T01:14:00.918Z
https://www.popmart.com/us/pop-now/set/40-10006971200280	1	1	1	1	1	2	true	2025-06-07T01:14:01.043Z
https://www.popmart.com/us/pop-now/set/40-10006971100280	1	1	1	2	1	1	true	2025-06-07T01:14:01.044Z
https://www.popmart.com/us/pop-now/set/40-10006970900280	1	1	1	1	1	1	true	2025-06-07T01:14:01.090Z
https://www.popmart.com/us/pop-now/set/40-10006971300280	1	1	1	1	1	1	true	2025-06-07T01:14:01.111Z
https://www.popmart.com/us/pop-now/set/40-10006971700280	1	1	1	1	1	1	true	2025-06-07T01:14:02.871Z
